klějь	bcs	klȉja	klîja				
klětь	bcs	klȉjet	klîjet				
klěšča	bcs	klijèšta	klijěʃta				
klěščiti	bcs	klijèštiti	klijěʃtiti				
klęčati	bcs	kléčati	klěːt͡ʃati				
klikъ	bcs	klȋk	klîːk				
klìknǫti	bcs	klȉknuti	klîknuti		IN_WIKTIONARY		
klokotati	bcs	klokòtati	klokǒtati				
kl̨učiti	bcs	kljùčiti	kʎǔtʃiti				
kl̨ùka	bcs	kljȕka	kʎûka				
kl̨účь	bcs	kljȗč	kʎûːtʃ		IN_WIKTIONARY		
kobь	bcs	kȏb	kôːb		IN_WIKTIONARY		
kobьcь	bcs	kòbac	kǒbat͡s				
kojariti	bcs	kojáriti	kojǎːriti				
kokotъ	bcs	kȍkōt	kôkoːt				
kokošь	bcs	kȍkōš	kôkoːʃ				
kolě̀no	bcs	kòljeno	kǒʎeno		IN_WIKTIONARY		
koliko	bcs	kȍliko 	kôliko 				
kolo	bcs	kȍlo	kôlo		IN_WIKTIONARY		
kolti	bcs	klȁti	klâti		IN_WIKTIONARY		
koltiti	bcs	klátiti	klǎːtiti				
konъ	bcs	kȍn	kôn				
konьcь	bcs	kònac	kǒnats		IN_WIKTIONARY		
kopa	bcs	kȍpa	kôpa				
kopati	bcs	kòpati	kǒpati		IN_WIKTIONARY		
koprъ	bcs	kȍpar	kôpar		IN_WIKTIONARY		
kopьje	bcs	kòplje	kǒpʎe				
korà	bcs	kȍra	kôra		IN_WIKTIONARY		
korenь	bcs	kȍrijen	kôrijen				
korica	bcs	kȍrica	kôrit͡sa				
korìti	bcs	kòriti	kǒriti		IN_WIKTIONARY		
kortъkъ	bcs	krátak	krǎːtak				
korỳto	bcs	kòrito	kǒrito				
korъ	bcs	kȏr	kôːr				
korьcь	bcs	kòrac	kǒrat͡s				
kosà	bcs	kòsa	kǒsa		IN_WIKTIONARY		
kosnǫti sę	bcs	kosnuti se	kosnuti				
kotìti sę	bcs	kòtiti 	kǒtiti				
kotъ	bcs	kȏt	kôːt				
kotьcь	bcs	kòtac	kǒtat͡s		IN_WIKTIONARY		
kovati	bcs	kòvati	kǒʋati		IN_WIKTIONARY		
kozà	bcs	kòza	kǒza		IN_WIKTIONARY		
kozьlъ	bcs	kò̀zao	kǒzao				
kòlda	bcs	klȁda	klâda		IN_WIKTIONARY		
kòn̨ь	bcs	kȍnj	kôɲ		IN_WIKTIONARY		
kòrsta	bcs	krȁsta	krâsta				
kòrva	bcs	krȁva	krâʋa		IN_WIKTIONARY		
kòšь	bcs	kȍš	kôʃ				
kòža	bcs	kȍža	kôʒa		IN_WIKTIONARY		
kórtъ	bcs	krȃt	krâːt				
kȏlsъ	bcs	klȃs	klâːs		IN_WIKTIONARY		
kȏstь	bcs	kȏst	kôːst				
kȏsъ	bcs	kȏs	kôːs		IN_WIKTIONARY		
kǫda	bcs	kùdā	kǔdaː				
kǫpina	bcs	kopína	kopǐːna				
kǫsati	bcs	kúsati	kǔːsati				
kǫtja	bcs	kȕća	kût͡ɕa		IN_WIKTIONARY		
kǫ́tъ	bcs	kȗt	kûːt		IN_WIKTIONARY		
kǫ̑sъ	bcs	kȗs	kûːs		IN_WIKTIONARY		
krajь	bcs	krȃj	krâːj		IN_WIKTIONARY		
krakati	bcs	krákati	krǎːkati				
krasà	bcs	krása	krǎːsa				
krasti	bcs	krȁsti	krâsti		IN_WIKTIONARY		
krasьnъ	bcs	krȃsan	krâːsan				
kremy	bcs	krȅmēn	krêmeːn		IN_WIKTIONARY		
krěpъ	bcs	krȉjep	krîjep				
krěpъkъ	bcs	krȅpak	krêpak		IN_WIKTIONARY		
krinica	bcs	krȋnica	krîːnit͡sa				
kričati	bcs	kríčati	krǐːt͡ʃati				
krȋkъ	bcs	krȋk	krîːk				
krojiti	bcs	kròjiti	krǒjiti		IN_WIKTIONARY		
kropiti	bcs	kròpiti	krǒpiti				
krotiti	bcs	kròtiti	krǒtiti		IN_WIKTIONARY		
krotъkъ	bcs	krȍtak	krôtak				
krovъ	bcs	krȏv	krôːʋ				
krȍsno	bcs	krȍsno	krôsno				
krǫglъ	bcs	krȗgao	krûːɡao				
krǫtiti	bcs	krútiti	krǔːtiti		IN_WIKTIONARY		
krǫtъ	bcs	krȗt	krûːt		IN_WIKTIONARY		
krǫčina	bcs	kručina	krut͡ʃina	krutʃina	DIFFERENT	1	
krǫ̑gъ	bcs	krȗg	krûːɡ				
krupьnъ	bcs	krúpan	krǔːpan		IN_WIKTIONARY		
kruxъ	bcs	krȕh	krûx		IN_WIKTIONARY		
kry	bcs	kȓv	kr̂ːʋ		IN_WIKTIONARY		
krỳti	bcs	krȉti	krîti		IN_WIKTIONARY		
krīdlò	bcs	krílo	krǐːlo		IN_WIKTIONARY		
krūpà	bcs	krúpa	krǔːpa		IN_WIKTIONARY		
krъvьnъ	bcs	kȓvnī	kr̂ːʋniː		IN_WIKTIONARY		
kujati	bcs	kȕjati	kûjati				
kuka	bcs	kȕka	kûka		IN_WIKTIONARY		
kukati	bcs	kȕkati	kûkati		IN_WIKTIONARY		
kukonosъ	bcs	kukònos	kukǒnos				
kurъ	bcs	kȕr	kûr				
kutiti	bcs	kútiti	kǔːtiti				
kuča	bcs	kúča	kǔːtʃa				
kùditi	bcs	kȕditi	kûditi				
kùpъ	bcs	kȕp	kûp				
kvȃsъ	bcs	kvȃs	kʋâːs		IN_WIKTIONARY		
kvě̑tъ	bcs	cvȉjet	tsʋîjet				
kvisti	bcs	cvàsti	tsʋǎsti				
kydati	bcs	kȉdati	kîdati		IN_WIKTIONARY		
kydnǫti sę	bcs	kȉnuti se	kînuti se				
kyjь	bcs	kij	kij	kij	SAME		
