				corr.
kvě̑tъ	slovene	cvẹ̑t	t͡sʋéːt	
glàdъkъ	slovene	gládǝk	ɡlàːdǝk	
pěšь	slovene	pẹ̑šji	péːʃji	
ni	slovene	nì	ní	
protivǫ	slovene	prọ̀ti	pròːti	
šȇstъ	slovene	šę́sti	ʃèːsti	
šȗjь	slovene	šȗj	ʃúːj	
skòra	slovene	skǫ́rja	skòːrja	
pȗstъ	slovene	pȗst	púːst	
droždža	slovene	drožję̑	drɔʒjéː	
měniti	slovene	mẹníti	mèːnti	
pǫ́tь	slovene	pǫ́t	pèːt	
pèlva	slovene	plẹ́va	plèːʋa	
pě̀na	slovene	pẹ́na	pèːna	
vьrstva	slovene	vŕsta	ʋə̀rsta	
grějati	slovene	grẹ́ti	ɡrèːti	
rǫ̑bъ	slovene	rǫ̑b	ró̝ːp	
velìkъ	slovene	vélik	ʋɛ̀ːlik	
nestì	slovene	nésti	nɛ̀ːsti	
lъžь	slovene	lȃž	láːʃ	
tьlěti	slovene	tlẹ́ti	tlèːti	
grę̑znǫti	slovene	grę́zniti	ɡrèːzniti	
do	slovene	dò	dó	
ežь	slovene	ję́ž	jèːʃ	
vȋdъ	slovene	vȋd	ʋíːt	
gъnàti	slovene	gnáti	ɡnàːti	
vȅčerъ	slovene	večę̑r	ʋɛt͡ʃóːr	
strьža	slovene	stȓž	stə́rʃ	
pràvъ	slovene	pràv	pràːʋ	
mě̀ra	slovene	mę́ra	mè̝ːra	
vъtorьnikъ	slovene	vtórǝk	ʋtɔ̀ːrǝk	
otjutiti	slovene	čútiti	t͡ʃùːtiti	
materъ	slovene	matǫ́r	matòːr	
lunà	slovene	lúna	lùːna	
česàti	slovene	čésati	t͡ʃɛ̀ːsati	
proti	slovene	prọ̀ti	pròːti	
lěgati	slovene	lẹ́gati	lèːɡati	
mỳšь	slovene	mìš	míʃ	
živòtъ	slovene	živòt	ʒiʋɔ́t	
pǫčina	slovene	počína	pɔt͡ʃìːna	
mimo	slovene	mȋmọ	míːmo	
grivьna	slovene	grȋvna	ɡríːʋna	
divьnъ	slovene	dívǝn	dìːʋǝn	
pròčь	slovene	pròč	prɛt͡ʃ	
žȋvъ	slovene	žȋv	ʒíːʋ	
strycь	slovene	stríc	strìːt͡s	
devętъ	slovene	devę́ti	dɛʋèːti	
bobrъ	slovene	bóbǝr	bɔ̀ːbər	
svȏrbъ	slovene	srȃb	sráːp	
čermъxa	slovene	črę̑mha	t͡ʃré̝ːmxa	
sermuša	slovene	srę̑mša	sré̝ːmʃa	
rě̑čь	slovene	rẹ̑č	réːt͡ʃ	
ščítъ	slovene	ščìt	ʃt͡ʃ	
tekъ	slovene	tę̑k	té̝ːk	
bojaznь	slovene	bojȃzǝn	bɔjáːzən	
čuditi sę	slovene	čúditi se	t͡ʃùːditi sɛ	
bъ̑rz	slovene	br̀z	brəs	
korica	slovene	kórica	kɔ̀ːrit͡sa	
stàrъ	slovene	stàr	stár	
divь	slovene	dívji	dìːʋji	
