nǫ̀dja	bulgarian	núžda	ˈnuʒd̪ə			
želě̀zo	bulgarian	željázo	ʒɛˈlʲazo̝			
drāpàti	bulgarian	drápam	ˈdrapəm			
pro	bulgarian	pro-	prɔ			
lǫ̑gъ	bulgarian	lăg	lɤk			
duti	bulgarian	dúja se	ˈdujə sɛ			
glístъ	bulgarian	glist	ɡlist			
korъ	bulgarian	kor	ˌkɔr			
àsъtrę̄bъ	bulgarian	jástreb	ˈjastrɛb			
mirъ	bulgarian	mir	ˈmir			
ěsti	bulgarian	jam	jam			
zьdati	bulgarian	zídam	ˈzid̪əm			
sìvъ	bulgarian	siv	sif			
čȇrvo	bulgarian	červó	tʃɛrvɔ			
klъcati	bulgarian	kắlcam	kɤlˈt͡ʃam			
gospodinъ	bulgarian	gospodín	ɡospoˈdin			
tesla	bulgarian	teslá	tɛˈsɫa			
edlà	bulgarian	jelá	ʲɛˈɫa			
kydati	bulgarian	kídam	ˈkidam			
ežь	bulgarian	ež	ɛʒ			
zę̀tь	bulgarian	zet	zɛt			
trъ̑stь	bulgarian	trăst	trɤs			
ȍpako	bulgarian	ópak	ˈɔpək			
vermę	bulgarian	vréme	ˈvrɛmɛ			
nadъ	bulgarian	nad	nat			
vȏrgъ	bulgarian	vrag	vrak			
rǭkà	bulgarian	răká	rəˈka			
lemešь	bulgarian	leméž	lɛˈmɛʃ			
korà	bulgarian	korá	koˈra			
kasati	bulgarian	kasáe se	kɐˈsaɛ sɛ			
pьxati	bulgarian	pắxam	ˈpɤxəm			
sỳtъ	bulgarian	sit	sit			
grьměti	bulgarian	gărmjá	ɡərˈmʲa			
làjati	bulgarian	lája	ˈlajə			
byvati	bulgarian	bívam	ˈbivəm			
lě̑sъ	bulgarian	les	lɛs			
šìti	bulgarian	šíja	ˈʃijə			
kȏlsъ	bulgarian	klas	klas			
dȅsętь	bulgarian	déset	dɛˈsɛti			
àblъkъ	bulgarian	jábălka	ˈjabəɫkə			
kъsьnъ	bulgarian	kắsen	ˈkɤsɛn			
orь̀lъ	bulgarian	orél	oˈrɛl			
