		pięść		pjej̃ɕt͡ɕ	
vь̀rša	polish	wiersza	ˈvʲɛrʂa		
ȏlsь	polish	ɫoś	wɔɕ		
náglъ	polish	nagɫy	ˈnaɡwɨ		
legti	polish	lec	lɛt͡s		
morъ	polish	mór	mur		
kotìti sę	polish	kocić się	ˈkɔt͡ɕit͡ɕ ɕɛ	ˈkɔt͡ɕit͡ɕ ɕɛ	
tęti	polish	ciąć	t͡ɕɔɲt͡ɕ	t͡ɕɔɲt͡ɕ	
mǭkà	polish	mąka	ˈmɔŋka	ˈmɔŋka	
òrmę	polish	ramię	ˈramʲɛ	ˈramʲɛ	
pę̑dь	polish	piędź	pʲɛɲt͡ɕ	pʲɛɲt͡ɕ	
xvorъ	polish	chory	ˈxɔrɨ		
jьgra	polish	gra	ɡra		
mara	polish	mara	ˈmara		
snuti	polish	snuć	snut͡ɕ		
paznogъtь	polish	paznokieć	pazˈnɔkʲɛt͡ɕ		
rȗdъ	polish	rudy	ˈrudɨ		
kydati	polish	kidać	ˈkʲidat͡ɕ		
pěšь	polish	pieszy	ˈpʲɛʂɨ		
sěděti	polish	siedzieć	ˈɕɛd͡ʑɛt͡ɕ		
màkъ	polish	mak	mak		
stornà	polish	strona	ˈstrɔna		
pīskàti	polish	piskać	ˈpʲiskat͡ɕ		
prijatelь	polish	przyjaciel	pʂɨˈjat͡ɕɛl		
ǭtròba	polish	wątroba	vɔnˈtrɔba	vɔnˈtrɔba	
gȏldъ	polish	gɫód	ɡwut		
sérnъ	polish	szron	ʂrɔn		
mьglà	polish	mgɫa	mɡwa		
sȏkъ	polish	sok	sɔk		
lǫčьje	polish	ɫącze	ˈwɔnt͡ʂɛ	ˈwɔnt͡ʂɛ	
ętry	polish	jątrew	ˈjɔntrɛf	ˈjɔntrɛf	
gomola	polish	gomóɫa	ɡɔˈmuwa		
smȏrdъ	polish	smród	smrut		
osnòvā	polish	osnowa	ɔsˈnɔva		
bedra	polish	biodro	ˈbʲɔdrɔ		
ȁgoda	polish	jagoda	jaˈɡɔda		
erębъ	polish	jarząb	ˈjaʐɔmp	ˈjaʐɔmp	
sunǫti	polish	sunąć	ˈsunɔɲt͡ɕ	ˈsunɔɲt͡ɕ	
klěšča	polish	kleszcze	ˈklɛʂt͡ʂɛ		
kolo	polish	koɫo	ˈkɔwɔ		
lopàta	polish	ɫopata	wɔˈpata		
sòlma	polish	sɫoma	ˈswɔma		
