pьsàti	slovak	písať	ˈpiːsac		
bràtъ	slovak	brat(e)r	ˈbrater		
viti	slovak	viť	ˈvic		
sněgъ	slovak	sneh	ˈsɲɛx		
pȍjāsъ	slovak	pás	ˈpaːs		
grǫ̑dь	slovak	hruď	ˈɦruc		
làziti	slovak	laziť	ˈɫazic		
ězda	slovak	jazda	ˈjazda		
stogъ	slovak	stoh	ˈstɔx		
strьžьnь	slovak	stržeň	ˈstr̩ʒɛɲ		
dužь	slovak	dúži	ˈduːʒi		
akъjь	slovak	jaký	ˈjakiː		
męti	slovak	mäť	ˈmɛc		
do	slovak	do	ˈdɔ		
grobъ	slovak	hrob	ˈɦrɔp		
sèdmь	slovak	sedem	ˈsɛɟɛm		
mъdьlь	slovak	mdlý	ˈmdliː		
okъnò	slovak	okno	ˈɔknɔ		
elьcь	slovak	jalec	ˈjalɛt͡s		
męzdra	slovak	máz(d)ra	ˈmaːsddrara		
košer̨a	slovak	košiar	ˈkoʃi̯ar		
godina	slovak	hodina	ˈɦɔɟina		
vьrstva	slovak	vrstva	ˈʋr̩stva		
zeml̨à	slovak	zem	ˈzɛm		
blъxà	slovak	blcha	ˈbɫ̩xa		
erębina	slovak	jerabina	ˈjɛrabina		
bìdlo	slovak	bidlo	ˈbidɫɔ		
borna	slovak	brány	ˈbraːni		
gъ̀rdlo	slovak	hrdlo	ˈɦr̩dlɔ		
kruxъ	slovak	kruch	krux		
pustìti	slovak	pustiť	ˈpuscic		
bydlo	slovak	bydlo	ˈbidlɔ		
esètrъ	slovak	jeseter	ˈjɛsɛcɛr		
nòžь	slovak	nôž	nu̯oʃ		
gъrbъ	slovak	hrb	ˈɦr̩p		
gornъ	slovak	hrana	ˈɦrana		
dòlnь	slovak	dlaň	ˈdɫaɲ		
bojati sę	slovak	bať sa	ˈbac sa		
pьkъlъ	slovak	peklo	ˈpɛkɫɔ		
lemežь	slovak	lemeš	ˈlɛmɛʃ		
kъrkati	slovak	kŕkať	ˈkr̩ːkac		
smьrdě̀ti	slovak	smrdieť	ˈsmr̩ɟi̯ɛc		
mùxa	slovak	mucha	ˈmuxa		
lędvьje	slovak	ľadvie	ˈʎadvi̯ɛ		
sъxnǫti	slovak	schnúti	ˈsxnuːci		
modliti	slovak	modliť sa	ˈmɔdʎic		
maniti	slovak	mamiť	ˈmamic		
gȍlǫbь	slovak	holub	ˈɦɔɫup		
mèrža	slovak	mreža	ˈmrɛʒa		
čьrtà	slovak	črta	ˈt͡ʃr̩ta		
stìgnǫti	slovak	stihnúť	ˈstiɦnuːc		
čermuša	slovak	čremcha	ˈt͡ʃremxa		
tekti	slovak	tiecť	ti̯et͡sc		
sòrka	slovak	straka	ˈstraka		
bordlo	slovak	bradlo	ˈbradlo		
tvь̑rdъ	slovak	tvrdý	ˈtvr̩diː		
pь̀rsь	slovak	prsia	ˈpr̩si̯a		
letěti	slovak	letieť	ˈlɛci̯ɛc		
vỳmę	slovak	vemä	ˈvɛmɛ		
xȏdъ	slovak	chod	ˈxɔt		
dupa	slovak	dúpa	ˈduːpa		
mavati	slovak	mávať	ˈmaːvac		
drobězgъ	slovak	drobizg	ˈdrɔbiz		
sìvъ	slovak	sivý	ˈsiviː		
pòlmy	slovak	plameň	ˈpɫamɛɲ		
vỳgъn̨ь	slovak	vyhňa	ˈʋiɦɲa		
drobìti	slovak	drobiť	ˈdrɔbic		
sětь	slovak	sieť	ˈsi̯ɛc		
blekota	slovak	bľakot	ˈbʎakɔt		
čermъša	slovak	čremcha	ˈt͡ʃremxa		
erębъ	slovak	jerab	ˈjɛrap		
kopъtь	slovak	kopt	ˈkɔpt		
bezъ	slovak	bez	ˈbɛs		
sušìti	slovak	sušiť	ˈsuʃic		
pèlva	slovak	pleva	ˈpleva		
kyxati	slovak	kýchať	ˈkiːxac		
morъ	slovak	mor	ˈmɔr		
nǫditi	slovak	nudiť	ˈnuɟic		
melti	slovak	mliet́	ˈmli̯ɛt		
ȏsь	slovak	os	ɔs		
kl̨účь	slovak	kľúč	kʎuːt͡ʃ		
pȳtàti	slovak	pýtať	ˈpiti̯ac		
znàti	slovak	znať	ˈznac		
ěbàti	slovak	jebat́	ˈjebac		
mȏrkъ	slovak	mrak	mrak		
plotъ	slovak	plot	ˈpɫɔt		
matati	slovak	mátať	ˈmaːtac		
lǭkà	slovak	lúka	ˈɫuːka		
snuti	slovak	snovať	ˈsnɔvac		
būdìti	slovak	budiť	ˈbuɟic		
čermъxa	slovak	čremcha	ˈt͡ʃremxa		
xvorstьje	slovak	chrastie	ˈxrasci̯ɛ		
spě̀ti	slovak	spieť	ˈspi̯ɛc		
blǭdìti	slovak	blúdiť	ˈbluːɟic		
šibati	slovak	šibať	ˈʃibac		
rỳti	slovak	ryť	ˈric		
za	slovak	za	ˈza		
dȃrъ	slovak	dar	dar		
lixъ	slovak	lichý	ˈlixiː		
oborъ	slovak	obora	ˈɔbɔra		
làskati	slovak	láskať	ˈɫaːskac		
pǫčati	slovak	pučať	ˈput͡ʃac		
oràti	slovak	orať	ˈorac		
divьnъ	slovak	divný	ˈɟivniː		
lě̑sъ	slovak	les	ˈlɛs		
gubìti	slovak	hubiti	ˈɦubici		
gospodinъ	slovak	hospodin	ˈɦɔspɔdin		
mьrknǫti	slovak	mrknuť	ˈmrknuc		
čęstъ	slovak	častý	ˈt͡ʃastiː		
dupę	slovak	dúpa	ˈduːpa		
ęzỳkъ	slovak	jazyk	ˈjazik		
otъ	slovak	od(o)	ˈɔdɔ		
krajь	slovak	kraj	kraj		
lě̑pъ	slovak	lep	ˈlɛp		
